400 faults | 361 avg.
400 faults | 361 avg.
400 faults | 361 avg.
400 faults | 361 avg.
400 faults | 361 avg.
400 faults | 361 avg.
400 faults | 361 avg.
400 faults | 361 avg.
400 faults | 361 avg.
400 faults | 361 avg.
400 faults | 361 avg.
400 faults | 361 avg.
400 faults | 361 avg.
400 faults | 361 avg.
400 faults | 361 avg.
400 faults | 361 avg.
400 faults | 361 avg.
400 faults | 361 avg.
400 faults | 361 avg.
400 faults | 361 avg.
398 faults | 361 avg.
398 faults | 361 avg.
398 faults | 361 avg.
398 faults | 361 avg.
398 faults | 361 avg.
398 faults | 361 avg.
398 faults | 361 avg.
398 faults | 361 avg.
398 faults | 361 avg.
398 faults | 361 avg.
398 faults | 361 avg.
398 faults | 361 avg.
398 faults | 361 avg.
398 faults | 361 avg.
398 faults | 361 avg.
398 faults | 361 avg.
398 faults | 361 avg.
398 faults | 361 avg.
398 faults | 361 avg.
398 faults | 361 avg.
398 faults | 361 avg.
398 faults | 361 avg.
398 faults | 361 avg.
398 faults | 361 avg.
398 faults | 361 avg.
398 faults | 361 avg.
398 faults | 361 avg.
398 faults | 361 avg.
398 faults | 361 avg.
398 faults | 361 avg.
398 faults | 361 avg.
398 faults | 361 avg.
398 faults | 361 avg.
398 faults | 361 avg.
398 faults | 361 avg.
398 faults | 361 avg.
398 faults | 361 avg.
398 faults | 361 avg.
398 faults | 361 avg.
398 faults | 361 avg.
398 faults | 361 avg.
398 faults | 361 avg.
398 faults | 361 avg.
398 faults | 361 avg.
398 faults | 360 avg.
398 faults | 360 avg.
396 faults | 360 avg.
396 faults | 360 avg.
396 faults | 360 avg.
396 faults | 360 avg.
396 faults | 360 avg.
396 faults | 360 avg.
396 faults | 360 avg.
396 faults | 360 avg.
396 faults | 360 avg.
396 faults | 360 avg.
396 faults | 360 avg.
396 faults | 360 avg.
396 faults | 360 avg.
396 faults | 360 avg.
396 faults | 360 avg.
396 faults | 360 avg.
396 faults | 360 avg.
396 faults | 360 avg.
396 faults | 360 avg.
396 faults | 360 avg.
396 faults | 360 avg.
396 faults | 360 avg.
396 faults | 360 avg.
396 faults | 360 avg.
396 faults | 360 avg.
396 faults | 360 avg.
396 faults | 360 avg.
396 faults | 360 avg.
396 faults | 360 avg.
396 faults | 360 avg.
396 faults | 360 avg.
396 faults | 360 avg.
396 faults | 359 avg.
396 faults | 359 avg.
396 faults | 359 avg.
396 faults | 359 avg.
396 faults | 359 avg.
396 faults | 359 avg.
396 faults | 359 avg.
396 faults | 359 avg.
396 faults | 359 avg.
396 faults | 359 avg.
396 faults | 359 avg.
396 faults | 359 avg.
396 faults | 359 avg.
396 faults | 359 avg.
396 faults | 358 avg.
396 faults | 358 avg.
396 faults | 358 avg.
396 faults | 358 avg.
396 faults | 358 avg.
396 faults | 358 avg.
396 faults | 358 avg.
396 faults | 358 avg.
396 faults | 358 avg.
396 faults | 358 avg.
396 faults | 358 avg.
396 faults | 358 avg.
396 faults | 358 avg.
396 faults | 358 avg.
396 faults | 358 avg.
396 faults | 358 avg.
396 faults | 358 avg.
396 faults | 358 avg.
396 faults | 358 avg.
395 faults | 358 avg.
395 faults | 358 avg.
395 faults | 358 avg.
395 faults | 358 avg.
395 faults | 358 avg.
395 faults | 358 avg.
395 faults | 358 avg.
395 faults | 358 avg.
395 faults | 358 avg.
395 faults | 358 avg.
395 faults | 358 avg.
395 faults | 358 avg.
395 faults | 358 avg.
395 faults | 358 avg.
395 faults | 358 avg.
395 faults | 358 avg.
395 faults | 358 avg.
395 faults | 358 avg.
395 faults | 358 avg.
395 faults | 358 avg.
395 faults | 358 avg.
395 faults | 358 avg.
395 faults | 358 avg.
395 faults | 358 avg.
395 faults | 358 avg.
395 faults | 358 avg.
392 faults | 358 avg.
392 faults | 358 avg.
392 faults | 358 avg.
392 faults | 358 avg.
392 faults | 358 avg.
392 faults | 358 avg.
392 faults | 358 avg.
392 faults | 358 avg.
392 faults | 358 avg.
392 faults | 358 avg.
392 faults | 358 avg.
392 faults | 358 avg.
392 faults | 358 avg.
392 faults | 358 avg.
392 faults | 358 avg.
392 faults | 358 avg.
392 faults | 358 avg.
392 faults | 358 avg.
392 faults | 358 avg.
392 faults | 358 avg.
392 faults | 358 avg.
392 faults | 358 avg.
392 faults | 358 avg.
392 faults | 358 avg.
392 faults | 358 avg.
392 faults | 358 avg.
392 faults | 358 avg.
392 faults | 358 avg.
392 faults | 358 avg.
392 faults | 358 avg.
392 faults | 358 avg.
392 faults | 358 avg.
392 faults | 358 avg.
392 faults | 358 avg.
392 faults | 358 avg.
391 faults | 358 avg.
391 faults | 358 avg.
391 faults | 358 avg.
391 faults | 358 avg.
391 faults | 358 avg.
391 faults | 358 avg.
391 faults | 358 avg.
391 faults | 358 avg.
391 faults | 358 avg.
391 faults | 357 avg.
391 faults | 357 avg.
391 faults | 357 avg.
391 faults | 357 avg.
391 faults | 357 avg.
391 faults | 357 avg.
391 faults | 357 avg.
391 faults | 357 avg.
391 faults | 357 avg.
391 faults | 357 avg.
391 faults | 357 avg.
391 faults | 357 avg.
391 faults | 357 avg.
391 faults | 357 avg.
391 faults | 357 avg.
391 faults | 357 avg.
391 faults | 357 avg.
391 faults | 357 avg.
391 faults | 357 avg.
391 faults | 357 avg.
391 faults | 357 avg.
391 faults | 357 avg.
391 faults | 357 avg.
391 faults | 357 avg.
391 faults | 357 avg.
391 faults | 357 avg.
391 faults | 357 avg.
391 faults | 357 avg.
391 faults | 357 avg.
391 faults | 357 avg.
391 faults | 357 avg.
391 faults | 357 avg.
391 faults | 357 avg.
391 faults | 357 avg.
391 faults | 357 avg.
391 faults | 357 avg.
391 faults | 357 avg.
391 faults | 357 avg.
391 faults | 357 avg.
391 faults | 357 avg.
391 faults | 357 avg.
391 faults | 357 avg.
391 faults | 357 avg.
391 faults | 357 avg.
391 faults | 357 avg.
391 faults | 357 avg.
391 faults | 357 avg.
391 faults | 357 avg.
391 faults | 357 avg.
391 faults | 357 avg.
391 faults | 357 avg.
391 faults | 356 avg.
391 faults | 356 avg.
391 faults | 356 avg.
391 faults | 356 avg.
391 faults | 356 avg.
391 faults | 356 avg.
391 faults | 356 avg.
391 faults | 356 avg.
391 faults | 356 avg.
391 faults | 356 avg.
391 faults | 356 avg.
391 faults | 356 avg.
391 faults | 356 avg.
391 faults | 356 avg.
391 faults | 356 avg.
391 faults | 356 avg.
391 faults | 356 avg.
391 faults | 356 avg.
391 faults | 356 avg.
391 faults | 356 avg.
391 faults | 356 avg.
391 faults | 356 avg.
391 faults | 356 avg.
391 faults | 356 avg.
391 faults | 356 avg.
391 faults | 356 avg.
391 faults | 356 avg.
391 faults | 356 avg.
391 faults | 356 avg.
391 faults | 356 avg.
391 faults | 356 avg.
391 faults | 356 avg.
391 faults | 356 avg.
391 faults | 356 avg.
391 faults | 356 avg.
391 faults | 356 avg.
391 faults | 356 avg.
391 faults | 356 avg.
391 faults | 356 avg.
391 faults | 356 avg.
391 faults | 356 avg.
391 faults | 356 avg.
391 faults | 356 avg.
391 faults | 356 avg.
391 faults | 356 avg.
391 faults | 356 avg.
391 faults | 356 avg.
391 faults | 356 avg.
391 faults | 356 avg.
391 faults | 356 avg.
391 faults | 356 avg.
391 faults | 356 avg.
391 faults | 356 avg.
391 faults | 356 avg.
391 faults | 356 avg.
391 faults | 356 avg.
391 faults | 356 avg.
391 faults | 356 avg.
391 faults | 356 avg.
391 faults | 356 avg.
391 faults | 356 avg.
391 faults | 356 avg.
391 faults | 356 avg.
391 faults | 356 avg.
391 faults | 356 avg.
391 faults | 356 avg.
391 faults | 356 avg.
391 faults | 356 avg.
391 faults | 356 avg.
391 faults | 356 avg.
391 faults | 356 avg.
391 faults | 356 avg.
391 faults | 356 avg.
391 faults | 356 avg.
391 faults | 356 avg.
391 faults | 356 avg.
391 faults | 356 avg.
